OffspCollection	Kid	Pa	Ma	PopName	SpawnYear	FDR	Pvalue	LOD	P.Pr.C_Se_Se	P.Pr.Max	MaxP.Pr.Relat	TotPaNonExc	TotMaNonExc	TotUnkNonExc	TotPairsMendCompat	TotPairsMendAndLogL	TotParsMendLoglAndRank	TotPairsNonExc	KidMiss	PaMiss	MaMiss	MI.Kid.Pa	MI.Kid.Ma	MI.Trio	MendIncLoci
OtsBON2018Adult	OtsBonn18-052118-06.07	OtsNPFH16S_0206	OtsNPFH16S_0454	OtsNPFH16S	-1	0.841000	0.841000	9.759660	0.012286	0.323085	C_Si_U	0	0	3196	296	22	22	22	0	0	9	1	1	3	Ots_105385421,Ots_112419131,Ots_96899357R
OtsBON2018Adult	OtsBonn18-052418-06.02	OtsPAHH14S_0155	OtsPAHH14S_0555	OtsPAHH14S	-1	0.000061	0.011000	18.327306	0.984943	0.984943	C_Se_Se	0	0	7961	1137	214	214	214	5	0	0	0	0	0	---
OtsBON2018Adult	OtsBonn18-052418-06.06	OtsPBT17-SpLWS-0341	OtsPBT17-SpLWS-1755	OtsLWS17S_sp	-1	0.979000	0.979000	9.844535	0.013360	0.256879	C_Si_U	0	0	8177	906	47	47	47	0	3	4	2	2	4	Ots_105105613,Ots_CirpA,Ots_ntl255,Ots_OTSTF1SNP1
OtsBON2018Adult	OtsBonn18-052418-06.07	OtsDWOR13S_0711	OtsDWOR13S_1540	OtsDWOR13S	-1	6.294899	0.985000	2.488837	0.000009	0.889808	C_U_U	0	0	1101	70	2	2	2	0	8	1	0	1	1	Ots_101554407
OtsBON2018Adult	OtsBonn18-052418-07.01	OtsDWOR14S_1396	OtsDWOR14S_1537	OtsDWOR14S	-1	0.000000	0.000000	21.706235	0.999479	0.999479	C_Se_Se	0	0	860	60	5	5	5	0	0	0	0	0	0	---
OtsBON2018Adult	OtsBonn18-052418-07.02	OtsPBT17-CarsonNFH-0016	OtsPBT17-CarsonNFH-0572	OtsCAR17S	-1	0.975000	0.975000	9.757221	0.012256	0.312490	C_Si_U	0	0	562	129	18	18	18	0	4	2	1	2	4	Ots_11230143,Ots_11820561,Ots_SClkF2R2135,Ots_u100275
OtsBON2018Adult	OtsBonn18-052418-07.07	Ots-RBHPBT13-0156	Ots-RBHPBT13-0377	OtsRB13	-1	0.676000	0.676000	6.585666	0.000520	0.663177	C_U_U	0	0	1996	97	3	3	3	1	1	2	0	0	4	Ots_109525816,Ots_11820561,Ots_tpx2125,Ots_unk526
OtsBON2018Adult	OtsBonn18-052418-07.10	OtsPBT15-LWSFa-1275	OtsPBT15-LWSFa-8842	OtsLWS15_sufa	-1	12.522192	0.532000	16.025411	0.867476	0.867476	C_Se_Se	0	0	24887	123265	21423	21423	21423	1	2	0	0	0	0	---
OtsBON2018Adult	OtsBonn18-052418-08.02	OtsRAPH14S_0335	OtsRAPH14S_1582	OtsRAPH14S	-1	0.007269	0.013000	19.734089	0.996270	0.996270	C_Se_Se	0	0	4459	160	20	20	20	0	0	0	0	0	0	---
OtsBON2018Adult	OtsBonn18-052418-08.07	OtsDWOR11S_0274	OtsDWOR11S_0499	OtsDWOR11S	-1	2.126065	0.977000	6.110491	0.000323	0.508238	C_U_U	0	0	777	51	5	5	5	0	1	0	1	2	4	Ots_105132200,Ots_RAG3,Ots_TLR3,Ots_unk526
OtsBON2018Adult	OtsBonn18-052518-01.07	OtsPOWP11S_0212	OtsPOWP11S_0440	OtsPOWP11S	-1	2.449049	0.959000	9.205104	0.007093	0.596236	C_U_U	0	0	5201	241	13	13	13	6	0	1	0	1	4	Ots_115987325,Ots_AsnRS60,Ots_OTALDBINT1SNP1,Ots_u0717135
OtsBON2018Adult	OtsBonn18-052518-01.08	OtsPOWP11S_0289	OtsPOWP11S_0949	OtsPOWP11S	-1	3.144946	0.821000	6.952353	0.000750	0.382110	C_Si_U	0	0	1846	78	4	4	4	0	0	1	1	2	4	Ots_10441588,Ots_11230143,Ots_ARNT,Ots_AsnRS60
OtsBON2018Adult	OtsBonn18-060118-03.08	OtsDWOR12S_0962	OtsDWOR12S_1890	OtsDWOR12S	-1	0.797000	0.797000	9.098430	0.006380	0.371296	C_U_U	0	0	11045	570	16	16	16	0	0	0	2	0	4	Ots_123921111,Ots_96899357R,Ots_ppie245,Ots_u0725325
OtsBON2018Adult	OtsBonn18-060118-03.09	OtsPAHH14S_0105	OtsPAHH14S_0505	OtsPAHH14S	-1	0.000056	0.005000	20.076677	0.997349	0.997349	C_Se_Se	0	0	3239	125	10	10	10	2	1	0	0	0	0	---
OtsBON2018Adult	OtsBonn18-060118-03.10	OtsRAPH17S_2477	OtsRAPH17S_2760	OtsRAPH17S	-1	3.909157	0.848000	9.917064	0.014350	0.355415	C_Si_Se	0	0	901	75	7	7	7	0	3	3	2	0	3	Ots_105132200,Ots_117432409,Ots_unk526
OtsBON2018Adult	OtsBonn18-060418-01.01	OtsRAPH17S_0937	OtsRAPH17S_2090	OtsRAPH17S	-1	5.614803	0.609000	5.206793	0.000131	0.781427	C_U_U	0	0	1672	71	1	1	1	0	2	2	1	1	4	Ots_11055164,Ots_117432409,Ots_mapK3309,Ots_NFYB147
OtsBON2018Adult	OtsBonn18-060418-01.03	OtsRAPH15S_0781	OtsRAPH15S_0850	OtsRAPH15S	-1	31.860477	0.856000	2.938668	0.000014	0.785805	C_U_U	0	0	509	20	1	1	1	3	0	8	1	0	4	Ots_brp1664,Ots_HMGB173,Ots_Ikaros250,Ots_tpx2125
OtsBON2018Adult	OtsBonn18-060418-01.05	OtsRAPH15S_0499	OtsRAPH15S_2322	OtsRAPH15S	-1	18.368161	0.987000	5.831035	0.000245	0.397795	C_U_U	0	0	8189	443	11	11	11	0	0	0	1	1	4	Ots_105132200,Ots_ETIF1A,Ots_HMGB173,Ots_vatf251
OtsBON2018Adult	OtsBonn18-060418-01.08	OtsSAWT12S_0567	OtsSAWT12S_0568	OtsSAWT12S	-1	0.910000	0.910000	3.621319	0.000027	0.359712	C_Se_U	0	0	2739	142	3	3	3	0	0	6	0	1	4	Ots_GDH81x,Ots_hsc713488,Ots_IL8R_C8,Ots_OTALDBINT1SNP1
OtsBON2018Adult	OtsBonn18-060418-02.01	OtsDWOR15S_0602	OtsDWOR15S_1671	OtsDWOR15S	-1	16.314151	0.819000	9.036694	0.006000	0.195196	C_Se_Si	0	0	841	96	7	7	7	0	0	0	0	1	3	Ots_110689218,Ots_TAPBP,Ots_txnip321
OtsBON2018Adult	OtsBonn18-060418-02.03	OtsRAPH17S_0414	OtsRAPH17S_0574	OtsRAPH17S	-1	3.064017	0.997000	5.212503	0.000132	0.627174	C_U_U	0	0	3659	233	6	6	6	1	2	2	1	0	4	Ots_96899357R,Ots_IGFI176,Ots_TAPBP,Ots_TGFB
OtsBON2018Adult	OtsBonn18-060418-02.04	OtsDWOR11S_0985	OtsDWOR11S_1363	OtsDWOR11S	-1	3.156456	0.967000	6.074814	0.000312	0.357516	C_U_U	0	0	3757	229	11	11	11	0	4	0	0	1	3	Ots_117432409,Ots_mybp85,Ots_redd1187
OtsBON2018Adult	OtsBonn18-060418-02.05	OtsPBT14-PRH-0055	OtsPBT14-PRH-7241	OtsPRH14	-1	3.812254	0.925000	13.757417	0.403916	0.403916	C_Se_Se	0	0	3628	1733	794	794	794	0	0	0	0	0	1	Ots_103122180
OtsBON2018Adult	OtsBonn18-060418-02.09	OtsPBT14-LF-Fall-0278	OtsPBT14-LF-Fall-0921	OtsLYON14S_1	-1	4.313834	0.995000	10.424786	0.023619	0.421521	C_U_U	0	0	3895	120	32	32	32	0	0	0	0	0	3	Ots_105132200,Ots_hsc713488,Ots_Ikaros250
OtsBON2018Adult	OtsBonn18-061518-01.01	OtsLWSFallPBT2014-0236	OtsLWSFallPBT2014-6899	OtsLWS14_sufa	-1	14.561684	0.855000	14.200529	0.513481	0.513481	C_Se_Se	0	0	5173	3458	1026	1026	1026	1	0	0	0	1	2	Ots_112419131,Ots_hsc713488
OtsBON2018Adult	OtsBonn18-061518-01.02	Ots-LWSFallPBT13-0346	Ots-LWSFallPBT13-2586	OtsLWS13_sufa	-1	4.541723	1.000000	7.593042	0.001423	0.304540	C_U_Si	0	0	955	110	34	34	34	0	0	0	2	2	3	Ots_110495380,Ots_OTALDBINT1SNP1,Ots_Prl2
OtsBON2018Adult	OtsBonn18-061518-01.10	OtsPBT15-LWSFa-6667	OtsPBT15-LWSFa-6794	OtsLWS15_sufa	-1	6.176360	0.656000	15.461922	0.788404	0.788404	C_Se_Se	0	0	19639	92648	17179	17179	17179	0	1	0	0	0	0	---
OtsBON2018Adult	OtsBonn18-061518-02.06	Ots-LWSFallPBT13-6022	Ots-LWSFallPBT13-6315	OtsLWS13_sufa	-1	27.754468	0.679000	14.838259	0.666338	0.666338	C_Se_Se	0	0	7162	52107	7283	7283	7283	0	0	0	1	0	1	Ots_pop596
OtsBON2018Adult	OtsBonn18-061518-02.07	OtsLWSFallPBT2014-3771	OtsLWSFallPBT2014-7002	OtsLWS14_sufa	-1	12.412345	0.911000	12.819421	0.209628	0.464338	C_Se_Si	0	0	10703	584	201	201	201	0	0	0	0	1	3	Ots_105105613,Ots_108820336,Ots_mapK3309
OtsBON2018Adult	OtsBonn18-061818-01.06	OtsDWOR13S_0223	OtsDWOR13S_0831	OtsDWOR13S	-1	8.607076	0.962000	10.073715	0.016743	0.732322	C_U_U	0	0	6757	659	86	86	86	0	0	0	0	0	1	Ots_u0718378
OtsBON2018Adult	OtsBonn18-061818-01.07	OtsPBT15-LWSFa-2786	OtsPBT15-LWSFa-5386	OtsLWS15_sufa	-1	5.280348	0.673000	15.768837	0.835105	0.835105	C_Se_Se	0	0	8156	6319	2756	2756	2756	0	0	0	0	0	1	Ots_u21185
OtsBON2018Adult	OtsBonn18-061818-01.10	OtsPBT15-LWSFa-6860	OtsPBT15-LWSFa-8644	OtsLWS15_sufa	-1	2.856919	0.971000	13.007843	0.242550	0.393452	C_Se_U	0	0	19933	1345	555	555	555	0	0	0	0	0	2	Ots_GCSH,Ots_HSP90B100
OtsBON2018Adult	OtsBonn18-061818-02.01	OtsCLWH11S_0274	OtsCLWH11S_0650	OtsCLWH11S	-1	0.977000	0.977000	4.809712	0.000088	0.382057	C_U_U	0	0	663	57	5	5	5	1	0	0	1	1	4	Ots_101704143,Ots_94857232R,Ots_HMGB173,Ots_TAPBP
OtsBON2018Adult	OtsBonn18-061918-01.04	OtsPBT15-LWSFa-0607	OtsPBT15-LWSFa-8423	OtsLWS15_sufa	-1	3.447405	0.952000	13.911028	0.441380	0.441380	C_Se_Se	0	0	3961	3280	1086	1086	1086	0	0	0	1	1	2	Ots_brp1664,Ots_u0707161
OtsBON2018Adult	OtsBonn18-061918-01.09	OtsPBT15-MCCA15S_0029	OtsPBT15-MCCA15S_1252	OtsMCCA15S	-1	0.509000	0.509000	11.185723	0.049225	0.534204	C_U_Se	0	0	744	179	25	25	25	0	0	0	0	0	2	Ots_105132200,Ots_u0749290
OtsBON2018Adult	OtsBonn18-062818-01.01	OtsChiefJosPBT13INT-0080	OtsChiefJosPBT13INT-0084	OtsCJH13int_sufa	-1	3.558702	0.472000	15.098170	0.721433	0.721433	C_Se_Se	0	0	1509	153	72	72	72	0	0	0	2	0	2	Ots_11230143,Ots_S71
OtsBON2018Adult	OtsBonn18-062818-01.03	OtsPBT15-LWSFa-2352	OtsPBT15-LWSFa-8734	OtsLWS15_sufa	-1	7.132001	0.606000	13.374208	0.315964	0.386371	C_Se_Si	0	0	2298	88	37	37	37	0	0	0	0	2	2	Ots_ntl255,Ots_Prl2
OtsBON2018Adult	OtsBonn18-062818-01.05	OtsPBT17-LWSFa-2459	OtsPBT17-LWSFa-5023	OtsLWS17S_fa	-1	22.879489	0.889000	14.747024	0.645756	0.645756	C_Se_Se	0	0	6419	521	263	263	263	0	2	2	1	0	2	Ots_GCSH,Ots_vatf251
OtsBON2018Adult	OtsBonn18-062818-01.09	OtsDWOR13S_0703	OtsDWOR13S_0711	OtsDWOR13S	-1	13.718831	0.920000	1.670151	0.000004	0.999976	F_F	0	0	257	2	2	2	2	0	1	8	0	0	0	---
OtsBON2018Adult	OtsBonn18-062818-01.10	OtsPBT12-PRH-2794	OtsPBT12-PRH-3789	OtsPRH12	-1	2.528883	1.000000	10.463724	0.024534	0.435554	C_Se_Si	0	0	4086	298	218	218	218	0	0	0	0	1	2	Ots_112876371,Ots_vatf251
OtsBON2018Adult	OtsBonn18-062818-02.02	OtsPBT16-LWSFa-6315	OtsPBT16-LWSFa-8301	OtsLWS16_sufa	-1	1.242194	1.000000	11.527948	0.067948	0.488473	C_U_U	0	0	14442	3032	1364	1364	1364	0	0	0	0	1	1	Ots_vatf251
OtsBON2018Adult	OtsBonn18-062818-02.05	OtsPBT15-LWSFa-2862	OtsPBT15-LWSFa-9374	OtsLWS15_sufa	-1	3.025412	0.964000	14.081079	0.483628	0.483628	C_Se_Se	0	0	10795	34300	8284	8284	8284	0	8	1	1	0	1	Ots_112876371
OtsBON2018Adult	OtsBonn18-062918-01.06	OtsPBT16-LWSFa-5450	OtsPBT16-LWSFa-5378	OtsLWS16_sufa	-1	1.173183	1.000000	11.977221	0.102535	0.372696	C_U_U	0	0	4625	5198	1703	1703	1703	0	0	0	2	1	3	Ots_110689218,Ots_CD592,Ots_OTALDBINT1SNP1
OtsBON2018Adult	OtsBonn18-062918-01.08	OTSPBT14RE-549	OTSPBT14RE-595	OtsEASTBK14_su	-1	0.021733	0.015000	18.630405	0.988836	0.988836	C_Se_Se	0	0	15863	5157	2441	2441	2441	0	8	3	0	0	0	---
OtsBON2018Adult	OtsBonn18-071818-01.05	OtsLWSFallPBT2014-0072	OtsLWSFallPBT2014-1946	OtsLWS14_sufa	-1	8.226074	0.966000	6.972441	0.000766	0.237300	C_Se_Si	0	0	2752	93	8	8	8	0	0	0	0	2	4	Ots_105407117,Ots_ETIF1A,Ots_SClkF2R2135,Ots_vatf251
OtsBON2018Adult	OtsBonn18-071818-01.09	OtsPBT14-PRH-3450	OtsPBT14-PRH-5699	OtsPRH14	-1	2.289642	1.000000	10.887948	0.037018	0.340619	C_Se_Si	0	0	4344	225	135	135	135	0	0	1	0	0	3	Ots_ETIF1A,Ots_HSP90B100,Ots_mapK3309
OtsBON2018Adult	OtsBonn18-071918-01.02	OtsPBT16-LWSFa-1468	OtsPBT16-LWSFa-2243	OtsLWS16_sufa	-1	1.715780	0.975000	10.186720	0.018709	0.525385	C_Si_Se	0	0	802	55	33	33	33	0	0	0	1	0	4	Ots_110495380,Ots_96500180,Ots_HMGB173,Ots_u0717135
OtsBON2018Adult	OtsBonn18-071918-01.09	OtsLYON13S_1_1307	OtsLYON13S_1_1772	OtsLYON13S_1	-1	13.365891	1.000000	4.424371	0.000060	0.559446	C_U_Si	0	0	1735	55	9	9	9	0	1	2	1	1	2	Ots_Est740,Ots_u0725325
OtsBON2018Adult	OtsBonn18-071918-02.01	OtsPBT14-PRH-0496	OtsPBT14-PRH-2649	OtsPRH14	-1	6.707506	0.651000	14.745589	0.645427	0.645427	C_Se_Se	0	0	7816	629	352	352	352	0	0	0	1	0	2	Ots_105132200,Ots_HMGB173
OtsBON2018Adult	OtsBonn18-072018-01.01	OtsPBT15-LWSFa-1870	OtsPBT15-LWSFa-4249	OtsLWS15_sufa	-1	2.327904	0.989000	13.021404	0.245050	0.324515	F_U	0	0	7829	2769	1071	1071	1071	0	1	0	1	0	1	Ots_129458451
OtsBON2018Adult	OtsBonn18-082018-02.09	OtsLYON15S_1_0887	OtsLYON15S_1_1893	OtsLYON15S_1	-1	7.048930	1.000000	10.608574	0.028250	0.450385	C_Si_Se	0	0	7352	226	57	57	57	0	0	1	0	0	4	Ots_105385421,Ots_11820561,Ots_OTDESMIN19SNP1,Ots_u492
OtsBON2018Adult	OtsBonn18-082018-03.02	OtsPBT17-LWSFa-1982	OtsPBT17-LWSFa-6154	OtsLWS17S_fa	-1	6.434052	1.000000	12.162967	0.120933	0.406912	C_U_U	0	0	16322	1722	801	801	801	1	3	2	0	0	2	Ots_cox1241,Ots_E2275
OtsBON2018Adult	OtsBonn18-082018-03.04	OtsPBT14-PRH-1878	OtsPBT14-PRH-3801	OtsPRH14	-1	2.932050	0.996000	12.021404	0.106673	0.398150	C_U_U	0	0	2030	705	333	333	333	0	0	0	1	0	1	Ots_11820561
OtsBON2018Adult	OtsBonn18-082018-03.07	OtsPBT17-PRHFa-2684	OtsPBT17-PRHFa-3588	OtsPRHFa17S	-1	6.294534	0.961000	9.579233	0.010279	0.319304	C_U_U	0	0	2480	90	22	22	22	0	2	5	1	2	4	Ots_101554407,Ots_124774477,Ots_RAG3,Ots_Thio
OtsBON2018Adult	OtsBonn18-082118-01.01	OtsPBT17-PRHFa-8707S5401	OtsPBT17-PRHFa-1572S6987	OtsPRHFa17S	-1	5.524443	0.984000	13.909030	0.440888	0.440888	C_Se_Se	0	0	20286	17491	5267	5267	5267	0	2	7	0	0	1	Ots_u0717135
OtsBON2018Adult	OtsBonn18-082118-01.02	OtsLYON15S_1_0446	OtsLYON15S_1_0494	OtsLYON15S_1	-1	9.674656	0.915000	9.181848	0.006931	0.429099	C_Si_U	0	0	3092	105	15	15	15	0	0	0	1	0	4	Ots_CD592,Ots_FGF6B_1,Ots_GTH2B550,Ots_HSP90B100
OtsBON2018Adult	OtsBonn18-082118-01.07	OtsPBT15-LWSFa-1873	OtsPBT15-LWSFa-2495	OtsLWS15_sufa	-1	3.671921	0.936000	13.123134	0.264355	0.337626	C_Si_Se	0	0	8105	468	284	284	284	0	1	0	2	1	3	Ots_124774477,Ots_94857232R,Ots_96500180
OtsBON2018Adult	OtsBonn18-082118-01.08	OtsLWSFallPBT2014-0093	OtsLWSFallPBT2014-7569	OtsLWS14_sufa	-1	18.847872	0.830000	12.248842	0.130364	0.480988	C_U_U	0	0	15698	157	99	99	99	0	0	0	0	0	2	Ots_105105613,Ots_105132200
OtsBON2018Adult	OtsBonn18-082818-03.07	OtsLWSFallPBT2014-1852	OtsLWSFallPBT2014-2582	OtsLWS14_sufa	-1	9.245514	0.950000	13.803087	0.414959	0.414959	C_Se_Se	0	0	8228	4314	1474	1474	1474	0	0	0	0	1	2	Ots_9490399R,Ots_GPH318
OtsBON2018Adult	OtsBonn18-082818-03.08	OtsPBT16-PRHFa-06561	OtsPBT16-PRHFa-08052	OtsPRH16	-1	8.053478	0.948000	13.844410	0.425025	0.425025	C_Se_Se	0	0	9296	10940	3190	3190	3190	0	0	0	1	0	1	Ots_Prl2
OtsBON2018Adult	OtsBonn18-082818-03.09	OtsPBT15-LWSFa-4446	OtsPBT15-LWSFa-8582	OtsLWS15_sufa	-1	4.801743	0.816000	14.356228	0.552218	0.552218	C_Se_Se	0	0	19882	719	249	249	249	0	1	0	0	0	2	Ots_ppie245,Ots_u0725325
OtsBON2018Adult	OtsBonn18-083018-03.10	OtsLWSFallPBT2014-3131	OtsLWSFallPBT2014-3299	OtsLWS14_sufa	-1	51.570502	0.757000	12.523308	0.164753	0.263440	C_U_U	0	0	1006	94	44	44	44	0	1	0	1	1	2	Ots_117432409,Ots_u0707161
OtsBON2018Adult	OtsBonn18-083018-04.01	OtsPBT14-PRH-0643	OtsPBT14-PRH-6164	OtsPRH14	-1	5.089874	0.741000	15.577496	0.807042	0.807042	C_Se_Se	0	0	7143	3215	1552	1552	1552	0	1	0	0	1	1	Ots_113242216
OtsBON2018Adult	OtsBonn18-083018-04.02	OtsPBT14-LF-Fall-1420	OtsPBT14-LF-Fall-1835	OtsLYON14S_1	-1	4.777734	0.551000	5.454701	0.000168	0.574145	C_U_U	0	0	2061	68	1	1	1	0	0	0	1	1	4	Ots_110201363,Ots_110495380,Ots_11230143,Ots_TAPBP
OtsBON2018Adult	OtsBonn18-083018-04.03	OtsPBT15-PRHFa-4384	OtsPBT15-PRHFa-4490	OtsPRH15	-1	8.870277	0.961000	12.599205	0.175464	0.394916	C_Si_Se	0	0	5078	697	341	341	341	0	0	0	1	0	3	Ots_108820336,Ots_110064383,Ots_MHC2
OtsBON2018Adult	OtsBonn18-083018-04.04	OtsPBT15-LWSFa-3063	OtsPBT15-LWSFa-8217	OtsLWS15_sufa	-1	4.566363	0.679000	11.686561	0.078708	0.352699	C_Se_Si	0	0	5112	127	18	18	18	0	0	0	0	1	4	Ots_113242216,Ots_IL8R_C8,Ots_u100275,Ots_u675
OtsBON2018Adult	OtsBonn18-083018-04.05	OtsLWSFallPBT2014-1863	OtsLWSFallPBT2014-3010	OtsLWS14_sufa	-1	5.580560	0.983000	7.513534	0.001314	0.596523	C_U_Si	0	0	726	32	8	8	8	1	0	0	1	2	4	Ots_129458451,Ots_CirpA,Ots_FGF6B_1,Ots_RAG3
OtsBON2018Adult	OtsBonn18-083018-04.06	OtsPBT17-LWSFa-2134	OtsPBT17-LWSFa-3683	OtsLWS17S_fa	-1	12.649346	0.983000	11.371201	0.058669	0.373395	C_U_U	0	0	5915	294	61	61	61	0	3	3	0	0	3	Ots_102801308,Ots_11230143,Ots_TGFB
OtsBON2018Adult	OtsBonn18-083018-04.07	OtsPBT12-PRH-2899	OtsPBT12-PRH-3059	OtsPRH12	-1	5.700101	0.966000	13.204072	0.280392	0.329139	C_U_U	0	0	9464	8581	2472	2472	2472	0	0	1	0	1	2	Ots_hsc713488,Ots_OTALDBINT1SNP1
